CREATEDAT;CREATEDBY;MODIFIEDAT;MODIFIEDBY;ID;CONTRACTID;CONTRACTTYPE;DEALERBPID;CUSTOMERBPID;STATUS_ID;STATUSDATE;REMARKS;PRIMARYCUSTOMERTITLE;PRIMARYCUSTOMERFIRSTNAME;PRIMARYCUSTOMERLASTNAME;PRIMARYCUSTOMEREMAIL;SECONDARYCUSTOMERTITLE;SECONDARYCUSTOMERFIRSTNAME;SECONDARYCUSTOMERLASTNAME;SECONDARYCUSTOMEREMAIL;SERVICEHOUSENUMBER;SERVICESTREETNAME;SERVICEUNITNUMBER;SERVICECITY;SERVICEPOSTALCODE;SERVICEPROVINCE_CODE;SERVICECOUNTRY_CODE;SERVICEPHONE;PRODUCTCATEGORY_ID;PRODUCTCATEGORY_NAME;CURRENCY_CODE;MONTHLYCOST;MONTHLYTAXES;MONTHLYTOTALCOST;TOTALCOST;TOTALOMCOST;ESTIMATEDINSTALLATIONDATE;INFLATOR;TAXRATE;ANNUALEGICOST;ANNUALEGICOSTEFFECTIVEDATE;MINUSEFULLIFEYEARS;TERMSOFLEASEYEARS;ANNUALAPRPRNCT;ANNUALEBITDAPRCNT;ANNUALEBITDAAPREFFECTIVEDATE;ANNUALDEALERCOST;PRODUCTSTEXT;FIRSTYEARANNUALBILL;MONTHLYPRICEFORCAPITAL;MONTHLYEBITDAPRCNT;MONTHLYDEALERCOST;MONTHLYEGICOST;NOOFMONTHLYPAYMENTS;TOTALLEASECOST;LEASEVALUEOFEQUIPMENT;ESTIMATEDRESIDUALVALUE;IMPLICITFINACECHARGE;WORKCOMPLETIONCERTIFACATE_ID
2023-06-07 06:09:23.182000000;ali.akbarchawla@enbridge.com;2023-06-07 06:54:03.572000000;ali.akbarchawla@enbridge.com;165c7fe7-4d96-4a59-80a0-c9a490705f6c;1000000073;;;;OFS;;;1;1;1;AliAkbarChawla@hotmail.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;20;13.25;13.000;;95.00;Manu1 E2922;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 07:11:17.193000000;ali.akbarchawla@enbridge.com;2023-06-07 07:11:17.193000000;ali.akbarchawla@enbridge.com;f8d6ee44-6961-4243-ad9f-3c7629bef0d7;1000000074;Residential Contract;1000000002;;INT;2023-06-07 07:11:17.412000000;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;20;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 10:26:47.551000000;aamir.saeed@enbridge.com;2023-06-07 10:26:47.551000000;aamir.saeed@enbridge.com;70316530-719e-4f14-b38c-3d9a76f3f12c;1000000075;;;;INT;;;1;1;1;a@a.com;;;;;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;;;;10.00;95.00;;;;;;;;;;;;;;;;;;;;;;;
2023-06-07 11:22:31.724000000;ali.akbarchawla@enbridge.com;2023-06-07 11:22:31.724000000;ali.akbarchawla@enbridge.com;f1b01652-e929-44d1-bb7d-ab5f8c1a564e;1000000076;Residential Contract;1000000002;;INT;2023-06-07 11:22:31.822000000;;1;1;1;1@1.com;;;;;1;1;11;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;120;1496.76;1465.29;;31.47;
2023-06-07 11:23:03.093000000;aamir.saeed@enbridge.com;2023-06-07 11:23:03.093000000;aamir.saeed@enbridge.com;212016cf-8892-487e-a4a1-018a58629f11;1000000077;Residential Contract;1000000002;;INT;2023-06-07 11:23:03.167000000;;1;1;1;a@a.com;1;1;1;a@a.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;83.58;10.87;94.45;100.00;950.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;950.00;;1003.00;1.08;1.080;79.17;3.33;120;10143.59;10112.12;;31.47;
2023-06-07 11:25:00.410000000;aamir.saeed@enbridge.com;2023-06-07 11:25:00.410000000;aamir.saeed@enbridge.com;2b176f68-617c-4d7e-b0e3-f6acbe0b871a;1000000078;Residential Contract;1000000002;;INT;2023-06-07 11:25:00.485000000;;2;2;2;a@a.com;;;;;2;2;2;2;222 222;ON;CA;222-222-2222;GOH;;;83.58;10.87;94.45;100.00;950.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;950.00;;1003.00;1.08;1.080;79.17;3.33;120;10143.59;10112.12;;31.47;
2023-06-07 11:30:26.883000000;aamir.saeed@enbridge.com;2023-06-07 11:30:26.883000000;aamir.saeed@enbridge.com;1446d93b-23c4-4d43-8ca7-d754564c2c67;1000000079;Residential Contract;1000000002;;INT;2023-06-07 11:30:26.960000000;;3;3;3;a@a.com;3;3;3;p@p.com;3;3;3;3;333 333;ON;CA;333-333-3333;GOH;;;93.33;12.13;105.47;1000.00;950.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;950.00;;1120.00;10.83;1.080;79.17;3.33;120;11326.84;11012.12;;314.72;
2023-06-07 11:47:27.510000000;aamir.saeed@enbridge.com;2023-06-07 11:47:27.510000000;aamir.saeed@enbridge.com;7f0a0d93-6295-4774-b7be-908f31dd7f01;1000000080;Residential Contract;1000000002;;INT;2023-06-07 11:47:27.594000000;;2;1;3;a@a.com;1;1;1;o@o.com;1;2;3;4;555 555;ON;CA;666-666-6666;GOH;;;93.33;12.13;105.47;1000.00;950.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;950.00;;1120.00;10.83;1.080;79.17;3.33;120;11326.84;11012.12;;314.72;
2023-06-08 10:32:20.160000000;aamir.saeed@enbridge.com;2023-06-08 10:32:20.160000000;aamir.saeed@enbridge.com;72614f79-965c-4293-b852-fe09ceae4041;1000000106;Residential Contract;1000000002;;INT;2023-06-08 10:32:20.247000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;83.58;10.87;94.45;100.00;950.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;950.00;;1003.00;1.08;1.080;79.17;3.33;120;10143.59;10112.12;;31.47;
2023-06-07 16:20:57.554000000;aamir.saeed@enbridge.com;2023-06-07 16:20:57.554000000;aamir.saeed@enbridge.com;b5d6dad5-6f74-409a-84cf-dc84d23c7515;1000000082;Residential Contract;1000000002;;INT;2023-06-07 16:20:57.626000000;;1;1;1;a@a.com;1;1;1;l@l.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-07 16:43:56.514000000;aamir.saeed@enbridge.com;2023-06-07 16:43:56.514000000;aamir.saeed@enbridge.com;b78203e8-d344-48ba-811f-7f3e8d638a28;1000000083;Residential Contract;1000000002;;INT;2023-06-07 16:43:56.603000000;;1;1;1;a@a.com;1;1;1;a@a.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-07 17:01:37.582000000;aamir.saeed@enbridge.com;2023-06-07 17:01:37.582000000;aamir.saeed@enbridge.com;879c8a3e-7be4-4a0e-87d2-b559bab6e764;1000000084;Residential Contract;1000000002;;INT;2023-06-07 17:01:37.663000000;;1;1;1;a@a.com;;;;;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-07 17:09:01.531000000;aamir.saeed@enbridge.com;2023-06-08 09:44:47.683000000;ali.akbarchawla@enbridge.com;1991c847-b3cb-435f-bcb1-f5885b0e95b5;1000000086;Residential Contract;1000000002;;CAN;2023-06-08 09:44:49.012000000;;2;2;2;a@a.com;;;;;2;2;2;2;222 222;ON;CA;222-222-2222;GOH;;;11.47;1.49;12.96;20.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;Manu1 E2922;137.60;0.22;1.080;7.92;3.33;120;1391.58;1385.29;;6.29;
2023-06-08 09:14:06.508000000;aamir.saeed@enbridge.com;2023-06-08 09:14:06.508000000;aamir.saeed@enbridge.com;4f1af137-699b-4b13-87ec-dc4301538951;1000000100;Residential Contract;1000000002;;INT;2023-06-08 09:14:06.592000000;;2;2;2;2@2.com;2;2;2;2;2;2;2;2;222 222;ON;CA;222-222-2222;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-07 19:49:29.025000000;aamir.saeed@enbridge.com;2023-06-07 20:18:05.480000000;ali.akbarchawla@enbridge.com;571d1ff8-5460-4c2a-8c08-310e85b473a6;1000000088;Residential Contract;1000000002;;INT;2023-06-07 19:49:29.110000000;;1;1;1;a@a.com;1;1;1;a@a.com;1;1;1;1;111 111;ON;CA;111-111-1111;HVA;;;3.84;0.50;4.34;10.00;5.00;2023-06-08;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;46.10;0.09;0.920;0.42;3.33;120;466.22;465.10;;1.12;
2023-06-08 03:01:57.854000000;aamir.saeed@enbridge.com;2023-06-08 03:01:57.854000000;aamir.saeed@enbridge.com;76c8c963-0d99-4e50-b692-723a14b0e33b;1000000089;Residential Contract;1000000002;;INT;2023-06-08 03:01:57.928000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 03:01:59.276000000;aamir.saeed@enbridge.com;2023-06-08 03:01:59.276000000;aamir.saeed@enbridge.com;4f141bbc-509a-4534-b529-8c3d0281e255;1000000090;Residential Contract;1000000002;;INT;2023-06-08 03:01:59.344000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;HVA;;;3.93;0.51;4.44;20.00;5.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;47.20;0.18;0.920;0.42;3.33;120;477.35;475.10;;2.25;
2023-06-08 03:02:00.531000000;aamir.saeed@enbridge.com;2023-06-08 03:02:00.531000000;aamir.saeed@enbridge.com;d2ea9fb3-3078-4fea-a950-007473d61dfb;1000000091;Residential Contract;1000000002;;INT;2023-06-08 03:02:00.596000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;SOL;;;13.61;1.77;15.38;30.00;120.00;;0.25;13.00;40.00;;10;10;11.25;11.000;;120.00;;163.30;0.28;0.920;10.00;3.33;120;1651.49;1648.12;;3.37;
2023-06-07 17:04:44.917000000;aamir.saeed@enbridge.com;2023-06-08 07:27:25.078000000;ali.akbarchawla@enbridge.com;e834077f-6dd9-4f9e-9bde-fcd1807606bb;1000000085;Residential Contract;1000000002;;CAN;2023-06-08 07:27:28.098000000;;1;1;1;AliAkbarChawla@hotmail.com;;;;;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;Manu1 E2922;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 07:47:05.608000000;aamir.saeed@enbridge.com;2023-06-08 07:47:05.608000000;aamir.saeed@enbridge.com;be94d575-e2cb-4f82-b088-7d0143da1282;1000000092;Residential Contract;1000000002;;INT;2023-06-08 07:47:05.688000000;;1;1;1;1@1.com;2;2;2;2@2.com;3;4;5;6;777 777;ON;CA;888-888-8888;SOL;;;106.08;13.79;119.87;300.00;1200.00;;0.25;13.00;40.00;;10;10;11.25;11.000;;1200.00;;1273.00;2.75;0.920;100.00;3.33;120;12874.17;12840.43;;33.74;
2023-06-08 07:47:07.089000000;aamir.saeed@enbridge.com;2023-06-08 07:47:07.089000000;aamir.saeed@enbridge.com;4c28fe6f-5d75-41a5-a78f-39131c32e638;1000000093;Residential Contract;1000000002;;INT;2023-06-08 07:47:07.179000000;;1;1;1;1@1.com;2;2;2;2@2.com;3;4;5;6;777 777;ON;CA;888-888-8888;GOH;;;123.71;16.08;139.79;150.00;1425.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;1425.00;;1484.50;1.62;1.080;118.75;3.33;120;15013.12;14965.92;;47.21;
2023-06-08 07:47:08.378000000;aamir.saeed@enbridge.com;2023-06-08 07:47:08.378000000;aamir.saeed@enbridge.com;04b800cd-93cb-429c-808c-c0a91057ed50;1000000094;Residential Contract;1000000002;;INT;2023-06-08 07:47:08.447000000;;1;1;1;1@1.com;2;2;2;2@2.com;3;4;5;6;777 777;ON;CA;888-888-8888;HVA;;;20.83;2.71;23.54;1000.00;100.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;100.00;;250.00;9.17;0.920;8.33;3.33;120;2528.31;2415.86;;112.46;
2023-06-08 08:05:12.789000000;aamir.saeed@enbridge.com;2023-06-08 08:05:12.789000000;aamir.saeed@enbridge.com;0a8e1cf2-e1a6-4713-b4d2-d20fe3e28b7e;1000000095;Residential Contract;1000000002;;INT;2023-06-08 08:05:12.864000000;;1;1;1;1@1.com;2;2;2;2@2.com;3;3;3;3;333 333;ON;CA;333-333-3333;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 08:05:14.098000000;aamir.saeed@enbridge.com;2023-06-08 08:05:14.098000000;aamir.saeed@enbridge.com;8e08c266-a4fe-4d88-9486-e770c10338b8;1000000096;Residential Contract;1000000002;;INT;2023-06-08 08:05:14.178000000;;1;1;1;1@1.com;2;2;2;2@2.com;3;3;3;3;333 333;ON;CA;333-333-3333;HVA;;;3.93;0.51;4.44;20.00;5.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;47.20;0.18;0.920;0.42;3.33;120;477.35;475.10;;2.25;
2023-06-08 09:06:32.685000000;aamir.saeed@enbridge.com;2023-06-08 09:06:32.685000000;aamir.saeed@enbridge.com;9a4c2327-af34-4aa2-ba14-773580ada826;1000000097;Residential Contract;1000000002;;INT;2023-06-08 09:06:32.767000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 09:06:33.984000000;aamir.saeed@enbridge.com;2023-06-08 09:06:33.984000000;aamir.saeed@enbridge.com;33a8a398-c794-48d9-97f1-a3d90e5b5243;1000000098;Residential Contract;1000000002;;INT;2023-06-08 09:06:34.059000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;HVA;;;3.93;0.51;4.44;20.00;5.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;47.20;0.18;0.920;0.42;3.33;120;477.35;475.10;;2.25;
2023-06-08 09:06:35.218000000;aamir.saeed@enbridge.com;2023-06-08 09:06:35.218000000;aamir.saeed@enbridge.com;05de549b-0c3e-4ace-b966-bf375a15c485;1000000099;Residential Contract;1000000002;;INT;2023-06-08 09:06:35.296000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;SOL;;;13.61;1.77;15.38;30.00;120.00;;0.25;13.00;40.00;;10;10;11.25;11.000;;120.00;;163.30;0.28;0.920;10.00;3.33;120;1651.49;1648.12;;3.37;
2023-06-08 09:14:07.821000000;aamir.saeed@enbridge.com;2023-06-08 09:14:07.821000000;aamir.saeed@enbridge.com;24d2bcd3-b920-42be-88c6-708c661b12c0;1000000101;Residential Contract;1000000002;;INT;2023-06-08 09:14:07.893000000;;2;2;2;2@2.com;2;2;2;2;2;2;2;2;222 222;ON;CA;222-222-2222;HVA;;;3.93;0.51;4.44;20.00;5.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;47.20;0.18;0.920;0.42;3.33;120;477.35;475.10;;2.25;
2023-06-08 09:14:09.104000000;aamir.saeed@enbridge.com;2023-06-08 09:14:09.104000000;aamir.saeed@enbridge.com;e6e64382-a898-450f-ae58-a96d51391fe1;1000000102;Residential Contract;1000000002;;INT;2023-06-08 09:14:09.187000000;;2;2;2;2@2.com;2;2;2;2;2;2;2;2;222 222;ON;CA;222-222-2222;SOL;;;13.61;1.77;15.38;30.00;120.00;;0.25;13.00;40.00;;10;10;11.25;11.000;;120.00;;163.30;0.28;0.920;10.00;3.33;120;1651.49;1648.12;;3.37;
2023-06-08 09:17:04.367000000;aamir.saeed@enbridge.com;2023-06-08 09:17:04.367000000;aamir.saeed@enbridge.com;73f5d345-2a32-4b22-a503-e6abc05321d2;1000000103;Residential Contract;1000000002;;INT;2023-06-08 09:17:04.463000000;;;;;;;;;;;;;;;ON;CA;;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 09:17:05.690000000;aamir.saeed@enbridge.com;2023-06-08 09:17:05.690000000;aamir.saeed@enbridge.com;debdbee0-3216-4599-a55c-8b8da91f9352;1000000104;Residential Contract;1000000002;;INT;2023-06-08 09:17:05.771000000;;;;;;;;;;;;;;;ON;CA;;HVA;;;3.93;0.51;4.44;20.00;5.00;;0.25;13.00;40.00;;15;10;11.00;11.000;;5.00;;47.20;0.18;0.920;0.42;3.33;120;477.35;475.10;;2.25;
2023-06-08 09:17:06.964000000;aamir.saeed@enbridge.com;2023-06-08 09:17:06.964000000;aamir.saeed@enbridge.com;aac43b03-59a9-45e5-b606-d65010b4c910;1000000105;Residential Contract;1000000002;;INT;2023-06-08 09:17:07.043000000;;;;;;;;;;;;;;;ON;CA;;SOL;;;13.61;1.77;15.38;30.00;120.00;;0.25;13.00;40.00;;10;10;11.25;11.000;;120.00;;163.30;0.28;0.920;10.00;3.33;120;1651.49;1648.12;;3.37;
2023-06-07 19:49:27.797000000;aamir.saeed@enbridge.com;2023-06-08 09:39:36.496000000;ali.akbarchawla@enbridge.com;18263c22-36ca-476e-a07f-aee0643db516;1000000087;Residential Contract;1000000002;;CAN;2023-06-08 09:39:38.951000000;;1;1;1;a@a.com;1;1;1;a@a.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;Manu1 E2922;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 10:44:37.591000000;aamir.saeed@enbridge.com;2023-06-08 10:44:37.591000000;aamir.saeed@enbridge.com;d804910c-2f24-4f63-a5d4-74cc7aa656a8;1000000107;Residential Contract;1000000002;;INT;2023-06-08 10:44:37.661000000;;1;1;1;1@1.com;1;1;1;1@1.com;1;1;1;1;111 111;ON;CA;111-111-1111;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 10:48:25.081000000;aamir.saeed@enbridge.com;2023-06-08 10:48:25.081000000;aamir.saeed@enbridge.com;4449388a-9016-43ff-a56c-f13c02ddb3fc;1000000108;Residential Contract;1000000002;;INT;2023-06-08 10:48:25.162000000;;;;;;;;;;;;;;;ON;CA;;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 11:13:07.754000000;aamir.saeed@enbridge.com;2023-06-08 11:13:07.754000000;aamir.saeed@enbridge.com;2ba1cc4b-0e47-44a0-a119-45c3890c6b63;1000000109;Residential Contract;1000000002;;INT;2023-06-08 11:13:07.837000000;;;;;;;;;;;;;;;ON;CA;;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
2023-06-08 11:20:42.200000000;aamir.saeed@enbridge.com;2023-06-08 11:20:42.200000000;aamir.saeed@enbridge.com;e1b31d98-d895-4917-9b19-cc8839c331d1;1000000110;Residential Contract;1000000002;;INT;2023-06-08 11:20:42.274000000;;;;;;;;;;;;;;;ON;CA;;GOH;;;11.36;1.48;12.83;10.00;95.00;;0.25;13.00;40.00;;10;10;13.25;13.000;;95.00;;136.30;0.11;1.080;7.92;3.33;120;1378.44;1375.29;;3.15;
